Accession	EntryName	GeneID	TaxID	EnsemblGeneID	GeneSymbol	Description	Type
Q9P013	CWC15_HUMAN	51503	9606	ENSG00000150316	CWC15	CWC15 spliceosome associated protein homolog	protein-coding
Q9HCG8	CWC22_HUMAN	57703	9606	ENSG00000163510	CWC22	CWC22 spliceosome associated protein homolog	protein-coding
Q9NXE8	CWC25_HUMAN	54883	9606	ENSG00000273559	CWC25	CWC25 spliceosome associated protein homolog	protein-coding
Q9NXE8	CWC25_HUMAN	54883	9606	ENSG00000276761	CWC25	CWC25 spliceosome associated protein homolog	protein-coding
Q6UX04	CWC27_HUMAN	10283	9606	ENSG00000153015	CWC27	CWC27 spliceosome associated cyclophilin	protein-coding
Q8TB03	CX038_HUMAN	159013	9606	ENSG00000185753	CXorf38	chromosome X open reading frame 38	protein-coding
A8MYA2	CX049_HUMAN	100130361	9606	ENSG00000215115	CXorf49	chromosome X open reading frame 49	protein-coding
A8MYA2	CX049_HUMAN	100130361	9606	ENSG00000215113	CXorf49	chromosome X open reading frame 49	protein-coding
A8MYA2	CX049_HUMAN	100132994	9606	ENSG00000215115	CXorf49B	chromosome X open reading frame 49B	protein-coding
A8MYA2	CX049_HUMAN	100132994	9606	ENSG00000215113	CXorf49B	chromosome X open reading frame 49B	protein-coding
Q96LI9	CX058_HUMAN	254158	9606	ENSG00000165182	CXorf58	chromosome X open reading frame 58	protein-coding
A0A1B0GTR3	CX05A_HUMAN	100129239	9606	ENSG00000224440	CXorf51A	chromosome X open reading frame 51A	protein-coding
A0A1B0GTR3	CX05A_HUMAN	100133053	9606	ENSG00000224440	CXorf51B	chromosome X open reading frame 51B	protein-coding
P0DPH9	CX05B_HUMAN	100129239	9606	ENSG00000235699	CXorf51A	chromosome X open reading frame 51A	protein-coding
P0DPH9	CX05B_HUMAN	100133053	9606	ENSG00000235699	CXorf51B	chromosome X open reading frame 51B	protein-coding
A6NEN9	CX065_HUMAN	158830	9606	ENSG00000204165	CXorf65	chromosome X open reading frame 65	protein-coding
Q5JRM2	CX066_HUMAN	347487	9606	ENSG00000203933	CXorf66	chromosome X open reading frame 66	protein-coding
P49238	CX3C1_HUMAN	1524	9606	ENSG00000168329	CX3CR1	C-X3-C motif chemokine receptor 1	protein-coding
P12074	CX6A1_HUMAN	1337	9606	ENSG00000111775	COX6A1	cytochrome c oxidase subunit 6A1	protein-coding
Q02221	CX6A2_HUMAN	1339	9606	ENSG00000156885	COX6A2	cytochrome c oxidase subunit 6A2	protein-coding
P14854	CX6B1_HUMAN	1340	9606	ENSG00000126267	COX6B1	cytochrome c oxidase subunit 6B1	protein-coding
Q6YFQ2	CX6B2_HUMAN	125965	9606	ENSG00000160471	COX6B2	cytochrome c oxidase subunit 6B2	protein-coding
P24310	CX7A1_HUMAN	1346	9606	ENSG00000161281	COX7A1	cytochrome c oxidase subunit 7A1	protein-coding
P14406	CX7A2_HUMAN	1347	9606	ENSG00000112695	COX7A2	cytochrome c oxidase subunit 7A2	protein-coding
Q8TF08	CX7B2_HUMAN	170712	9606	ENSG00000170516	COX7B2	cytochrome c oxidase subunit 7B2	protein-coding
Q969M2	CXA10_HUMAN	84694	9606	ENSG00000135355	GJA10	gap junction protein alpha 10	protein-coding
Q969M2	CXA10_HUMAN	84694	9606	ENSG00000288435	GJA10	gap junction protein alpha 10	protein-coding
P17302	CXA1_HUMAN	2697	9606	ENSG00000152661	GJA1	gap junction protein alpha 1	protein-coding
Q9Y6H8	CXA3_HUMAN	2700	9606	ENSG00000121743	GJA3	gap junction protein alpha 3	protein-coding
P35212	CXA4_HUMAN	2701	9606	ENSG00000187513	GJA4	gap junction protein alpha 4	protein-coding
P36382	CXA5_HUMAN	2702	9606	ENSG00000265107	GJA5	gap junction protein alpha 5	protein-coding
P48165	CXA8_HUMAN	2703	9606	ENSG00000121634	GJA8	gap junction protein alpha 8	protein-coding
P57773	CXA9_HUMAN	81025	9606	ENSG00000131233	GJA9	gap junction protein alpha 9	protein-coding
P78310	CXAR_HUMAN	1525	9606	ENSG00000154639	CXADR	CXADR Ig-like cell adhesion molecule	protein-coding
P08034	CXB1_HUMAN	2705	9606	ENSG00000169562	GJB1	gap junction protein beta 1	protein-coding
P29033	CXB2_HUMAN	2706	9606	ENSG00000165474	GJB2	gap junction protein beta 2	protein-coding
O75712	CXB3_HUMAN	2707	9606	ENSG00000188910	GJB3	gap junction protein beta 3	protein-coding
Q9NTQ9	CXB4_HUMAN	127534	9606	ENSG00000189433	GJB4	gap junction protein beta 4	protein-coding
O95377	CXB5_HUMAN	2709	9606	ENSG00000189280	GJB5	gap junction protein beta 5	protein-coding
O95452	CXB6_HUMAN	10804	9606	ENSG00000121742	GJB6	gap junction protein beta 6	protein-coding
Q6PEY0	CXB7_HUMAN	375519	9606	ENSG00000164411	GJB7	gap junction protein beta 7	protein-coding
P19875	CXCL2_HUMAN	2920	9606	ENSG00000081041	CXCL2	C-X-C motif chemokine ligand 2	protein-coding
P19876	CXCL3_HUMAN	2921	9606	ENSG00000163734	CXCL3	C-X-C motif chemokine ligand 3	protein-coding
P42830	CXCL5_HUMAN	6374	9606	ENSG00000163735	CXCL5	C-X-C motif chemokine ligand 5	protein-coding
P80162	CXCL6_HUMAN	6372	9606	ENSG00000124875	CXCL6	C-X-C motif chemokine ligand 6	protein-coding
P02775	CXCL7_HUMAN	5473	9606	ENSG00000163736	PPBP	pro-platelet basic protein	protein-coding
Q07325	CXCL9_HUMAN	4283	9606	ENSG00000138755	CXCL9	C-X-C motif chemokine ligand 9	protein-coding
P25024	CXCR1_HUMAN	3577	9606	ENSG00000163464	CXCR1	C-X-C motif chemokine receptor 1	protein-coding
P25025	CXCR2_HUMAN	3579	9606	ENSG00000180871	CXCR2	C-X-C motif chemokine receptor 2	protein-coding
P49682	CXCR3_HUMAN	2833	9606	ENSG00000186810	CXCR3	C-X-C motif chemokine receptor 3	protein-coding
P61073	CXCR4_HUMAN	7852	9606	ENSG00000121966	CXCR4	C-X-C motif chemokine receptor 4	protein-coding
P32302	CXCR5_HUMAN	643	9606	ENSG00000160683	CXCR5	C-X-C motif chemokine receptor 5	protein-coding
O00574	CXCR6_HUMAN	10663	9606	ENSG00000172215	CXCR6	C-X-C motif chemokine receptor 6	protein-coding
Q9UKL4	CXD2_HUMAN	57369	9606	ENSG00000159248	GJD2	gap junction protein delta 2	protein-coding
Q8N144	CXD3_HUMAN	125111	9606	ENSG00000183153	GJD3	gap junction protein delta 3	protein-coding
Q96KN9	CXD4_HUMAN	219770	9606	ENSG00000177291	GJD4	gap junction protein delta 4	protein-coding
P36383	CXG1_HUMAN	10052	9606	ENSG00000182963	GJC1	gap junction protein gamma 1	protein-coding
Q5T442	CXG2_HUMAN	57165	9606	ENSG00000198835	GJC2	gap junction protein gamma 2	protein-coding
Q8NFK1	CXG3_HUMAN	349149	9606	ENSG00000176402	GJC3	gap junction protein gamma 3	protein-coding
P02778	CXL10_HUMAN	3627	9606	ENSG00000169245	CXCL10	C-X-C motif chemokine ligand 10	protein-coding
O14625	CXL11_HUMAN	6373	9606	ENSG00000169248	CXCL11	C-X-C motif chemokine ligand 11	protein-coding
O43927	CXL13_HUMAN	10563	9606	ENSG00000156234	CXCL13	C-X-C motif chemokine ligand 13	protein-coding
O95715	CXL14_HUMAN	9547	9606	ENSG00000145824	CXCL14	C-X-C motif chemokine ligand 14	protein-coding
Q9H2A7	CXL16_HUMAN	58191	9606	ENSG00000161921	CXCL16	C-X-C motif chemokine ligand 16	protein-coding
Q6UXB2	CXL17_HUMAN	284340	9606	ENSG00000189377	CXCL17	C-X-C motif chemokine ligand 17	protein-coding
Q9P0U4	CXXC1_HUMAN	30827	9606	ENSG00000154832	CXXC1	CXXC finger protein 1	protein-coding
Q7LFL8	CXXC5_HUMAN	51523	9606	ENSG00000171604	CXXC5	CXXC finger protein 5	protein-coding
P08574	CY1_HUMAN	1537	9606	ENSG00000179091	CYC1	cytochrome c1	protein-coding
P13498	CY24A_HUMAN	1535	9606	ENSG00000051523	CYBA	cytochrome b-245 alpha chain	protein-coding
P04839	CY24B_HUMAN	1536	9606	ENSG00000165168	CYBB	cytochrome b-245 beta chain	protein-coding
P49447	CY561_HUMAN	1534	9606	ENSG00000008283	CYB561	cytochrome b561	protein-coding
Q8NBI2	CYAC3_HUMAN	220002	9606	ENSG00000162144	CYB561A3	cytochrome b561 family member A3	protein-coding
O43169	CYB5B_HUMAN	80777	9606	ENSG00000103018	CYB5B	cytochrome b5 type B	protein-coding
P00167	CYB5_HUMAN	1528	9606	ENSG00000166347	CYB5A	cytochrome b5 type A	protein-coding
Q9BQA9	CYBC1_HUMAN	79415	9606	ENSG00000178927	CYBC1	cytochrome b-245 chaperone 1	protein-coding
Q9HB71	CYBP_HUMAN	27101	9606	ENSG00000116161	CACYBP	calcyclin binding protein	protein-coding
Q53TN4	CYBR1_HUMAN	79901	9606	ENSG00000071967	CYBRD1	cytochrome b reductase 1	protein-coding
P00156	CYB_HUMAN	4519	9606	ENSG00000198727	CYTB	cytochrome b	protein-coding
P99999	CYC_HUMAN	54205	9606	ENSG00000172115	CYCS	cytochrome c, somatic	protein-coding
Q7L576	CYFP1_HUMAN	23191	9606	ENSG00000273749	CYFIP1	cytoplasmic FMR1 interacting protein 1	protein-coding
Q7L576	CYFP1_HUMAN	23191	9606	ENSG00000288461	CYFIP1	cytoplasmic FMR1 interacting protein 1	protein-coding
Q96F07	CYFP2_HUMAN	26999	9606	ENSG00000055163	CYFIP2	cytoplasmic FMR1 interacting protein 2	protein-coding
Q8WWM9	CYGB_HUMAN	114757	9606	ENSG00000161544	CYGB	cytoglobin	protein-coding
Q15438	CYH1_HUMAN	9267	9606	ENSG00000108669	CYTH1	cytohesin 1	protein-coding
Q99418	CYH2_HUMAN	9266	9606	ENSG00000105443	CYTH2	cytohesin 2	protein-coding
O43739	CYH3_HUMAN	9265	9606	ENSG00000008256	CYTH3	cytohesin 3	protein-coding
Q9UIA0	CYH4_HUMAN	27128	9606	ENSG00000100055	CYTH4	cytohesin 4	protein-coding
Q6ZMK1	CYHR1_HUMAN	50626	9606	ENSG00000187954	CYHR1	cysteine and histidine rich 1	protein-coding
P35663	CYLC1_HUMAN	1538	9606	ENSG00000183035	CYLC1	cylicin 1	protein-coding
Q14093	CYLC2_HUMAN	1539	9606	ENSG00000155833	CYLC2	cylicin 2	protein-coding
Q9NQC7	CYLD_HUMAN	1540	9606	ENSG00000083799	CYLD	CYLD lysine 63 deubiquitinase	protein-coding
Q9BWK5	CYREN_HUMAN	78996	9606	ENSG00000122783	CYREN	cell cycle regulator of NHEJ	protein-coding
Q9H0Q0	CYRIA_HUMAN	81553	9606	ENSG00000197872	CYRIA	CYFIP related Rac1 interactor A	protein-coding
Q9NUQ9	CYRIB_HUMAN	51571	9606	ENSG00000153310	CYRIB	CYFIP related Rac1 interactor B	protein-coding
Q717R9	CYS1_HUMAN	192668	9606	ENSG00000205795	CYS1	cystin 1	protein-coding
P01040	CYTA_HUMAN	1475	9606	ENSG00000121552	CSTA	cystatin A	protein-coding
P04080	CYTB_HUMAN	1476	9606	ENSG00000160213	CSTB	cystatin B	protein-coding
P01034	CYTC_HUMAN	1471	9606	ENSG00000101439	CST3	cystatin C	protein-coding
P28325	CYTD_HUMAN	1473	9606	ENSG00000170367	CST5	cystatin D	protein-coding
O76096	CYTF_HUMAN	8530	9606	ENSG00000077984	CST7	cystatin F	protein-coding
O60759	CYTIP_HUMAN	9595	9606	ENSG00000115165	CYTIP	cytohesin 1 interacting protein	protein-coding
Q9NRR1	CYTL1_HUMAN	54360	9606	ENSG00000170891	CYTL1	cytokine like 1	protein-coding
Q9H1C7	CYTM1_HUMAN	84418	9606	ENSG00000120306	CYSTM1	cysteine rich transmembrane module containing 1	protein-coding
Q15828	CYTM_HUMAN	1474	9606	ENSG00000175315	CST6	cystatin E/M	protein-coding
P01037	CYTN_HUMAN	1469	9606	ENSG00000170373	CST1	cystatin SN	protein-coding
Q69YQ0	CYTSA_HUMAN	23384	9606	ENSG00000100014	SPECC1L	sperm antigen with calponin homology and coiled-coil domains 1 like	protein-coding
Q5M775	CYTSB_HUMAN	92521	9606	ENSG00000128487	SPECC1	sperm antigen with calponin homology and coiled-coil domains 1	protein-coding
P01036	CYTS_HUMAN	1472	9606	ENSG00000101441	CST4	cystatin S	protein-coding
P09228	CYTT_HUMAN	1470	9606	ENSG00000170369	CST2	cystatin SA	protein-coding
Q96J86	CYYR1_HUMAN	116159	9606	ENSG00000166265	CYYR1	cysteine and tyrosine rich 1	protein-coding
Q9NWV4	CZIB_HUMAN	54987	9606	ENSG00000162384	CZIB	CXXC motif containing zinc binding protein	protein-coding
P81534	D103A_HUMAN	414325	9606	ENSG00000176797	DEFB103A	defensin beta 103A	protein-coding
P81534	D103A_HUMAN	414325	9606	ENSG00000177243	DEFB103A	defensin beta 103A	protein-coding
P81534	D103A_HUMAN	414325	9606	ENSG00000273641	DEFB103A	defensin beta 103A	protein-coding
P81534	D103A_HUMAN	414325	9606	ENSG00000285376	DEFB103A	defensin beta 103A	protein-coding
P81534	D103A_HUMAN	414325	9606	ENSG00000284978	DEFB103A	defensin beta 103A	protein-coding
P81534	D103A_HUMAN	55894	9606	ENSG00000176797	DEFB103B	defensin beta 103B	protein-coding
P81534	D103A_HUMAN	55894	9606	ENSG00000177243	DEFB103B	defensin beta 103B	protein-coding
P81534	D103A_HUMAN	55894	9606	ENSG00000273641	DEFB103B	defensin beta 103B	protein-coding
P81534	D103A_HUMAN	55894	9606	ENSG00000285376	DEFB103B	defensin beta 103B	protein-coding
P81534	D103A_HUMAN	55894	9606	ENSG00000284978	DEFB103B	defensin beta 103B	protein-coding
Q8WTQ1	D104A_HUMAN	140596	9606	ENSG00000176782	DEFB104A	defensin beta 104A	protein-coding
Q8WTQ1	D104A_HUMAN	140596	9606	ENSG00000177023	DEFB104A	defensin beta 104A	protein-coding
Q8WTQ1	D104A_HUMAN	140596	9606	ENSG00000277006	DEFB104A	defensin beta 104A	protein-coding
Q8WTQ1	D104A_HUMAN	140596	9606	ENSG00000285034	DEFB104A	defensin beta 104A	protein-coding
Q8WTQ1	D104A_HUMAN	503618	9606	ENSG00000176782	DEFB104B	defensin beta 104B	protein-coding
Q8WTQ1	D104A_HUMAN	503618	9606	ENSG00000177023	DEFB104B	defensin beta 104B	protein-coding
Q8WTQ1	D104A_HUMAN	503618	9606	ENSG00000277006	DEFB104B	defensin beta 104B	protein-coding
Q8WTQ1	D104A_HUMAN	503618	9606	ENSG00000285034	DEFB104B	defensin beta 104B	protein-coding
Q8NG35	D105A_HUMAN	245908	9606	ENSG00000186562	DEFB105A	defensin beta 105A	protein-coding
Q8NG35	D105A_HUMAN	245908	9606	ENSG00000186599	DEFB105A	defensin beta 105A	protein-coding
Q8NG35	D105A_HUMAN	245908	9606	ENSG00000274729	DEFB105A	defensin beta 105A	protein-coding
Q8NG35	D105A_HUMAN	245908	9606	ENSG00000285015	DEFB105A	defensin beta 105A	protein-coding
Q8NG35	D105A_HUMAN	504180	9606	ENSG00000186562	DEFB105B	defensin beta 105B	protein-coding
Q8NG35	D105A_HUMAN	504180	9606	ENSG00000186599	DEFB105B	defensin beta 105B	protein-coding
Q8NG35	D105A_HUMAN	504180	9606	ENSG00000274729	DEFB105B	defensin beta 105B	protein-coding
Q8NG35	D105A_HUMAN	504180	9606	ENSG00000285015	DEFB105B	defensin beta 105B	protein-coding
Q8N104	D106A_HUMAN	245909	9606	ENSG00000186579	DEFB106A	defensin beta 106A	protein-coding
Q8N104	D106A_HUMAN	245909	9606	ENSG00000187082	DEFB106A	defensin beta 106A	protein-coding
Q8N104	D106A_HUMAN	245909	9606	ENSG00000275794	DEFB106A	defensin beta 106A	protein-coding
Q8N104	D106A_HUMAN	245909	9606	ENSG00000285617	DEFB106A	defensin beta 106A	protein-coding
Q8N104	D106A_HUMAN	503841	9606	ENSG00000186579	DEFB106B	defensin beta 106B	protein-coding
Q8N104	D106A_HUMAN	503841	9606	ENSG00000187082	DEFB106B	defensin beta 106B	protein-coding
Q8N104	D106A_HUMAN	503841	9606	ENSG00000275794	DEFB106B	defensin beta 106B	protein-coding
Q8N104	D106A_HUMAN	503841	9606	ENSG00000285617	DEFB106B	defensin beta 106B	protein-coding
Q8IZN7	D107A_HUMAN	245910	9606	ENSG00000186572	DEFB107A	defensin beta 107A	protein-coding
Q8IZN7	D107A_HUMAN	245910	9606	ENSG00000198129	DEFB107A	defensin beta 107A	protein-coding
Q8IZN7	D107A_HUMAN	245910	9606	ENSG00000277530	DEFB107A	defensin beta 107A	protein-coding
Q8IZN7	D107A_HUMAN	245910	9606	ENSG00000285432	DEFB107A	defensin beta 107A	protein-coding
Q8IZN7	D107A_HUMAN	245910	9606	ENSG00000284979	DEFB107A	defensin beta 107A	protein-coding
Q8IZN7	D107A_HUMAN	503614	9606	ENSG00000186572	DEFB107B	defensin beta 107B	protein-coding
Q8IZN7	D107A_HUMAN	503614	9606	ENSG00000198129	DEFB107B	defensin beta 107B	protein-coding
Q8IZN7	D107A_HUMAN	503614	9606	ENSG00000277530	DEFB107B	defensin beta 107B	protein-coding
Q8IZN7	D107A_HUMAN	503614	9606	ENSG00000285432	DEFB107B	defensin beta 107B	protein-coding
Q8IZN7	D107A_HUMAN	503614	9606	ENSG00000284979	DEFB107B	defensin beta 107B	protein-coding
Q8NET1	D108B_HUMAN	245911	9606	ENSG00000184276	DEFB108B	defensin beta 108B	protein-coding
P0DP74	D130A_HUMAN	100133267	9606	ENSG00000232948	DEFB130B	defensin beta 130B	protein-coding
P0DP74	D130A_HUMAN	100133267	9606	ENSG00000285249	DEFB130B	defensin beta 130B	protein-coding
P0DP74	D130A_HUMAN	245940	9606	ENSG00000232948	DEFB130A	defensin beta 130A	protein-coding
P0DP74	D130A_HUMAN	245940	9606	ENSG00000285249	DEFB130A	defensin beta 130A	protein-coding
P0DP73	D130B_HUMAN	100133267	9606	ENSG00000233050	DEFB130B	defensin beta 130B	protein-coding
P0DP73	D130B_HUMAN	245940	9606	ENSG00000233050	DEFB130A	defensin beta 130A	protein-coding
P59861	D131A_HUMAN	644414	9606	ENSG00000186146	DEFB131A	defensin beta 131A	protein-coding
A0A096LNP1	D131B_HUMAN	100129216	9606	ENSG00000225805	DEFB131B	defensin beta 131B	protein-coding
Q2PZI1	D19L1_HUMAN	23333	9606	ENSG00000173852	DPY19L1	dpy-19 like C-mannosyltransferase 1	protein-coding
Q6NUT2	D19L2_HUMAN	283417	9606	ENSG00000177990	DPY19L2	dpy-19 like 2	protein-coding
Q6ZPD9	D19L3_HUMAN	147991	9606	ENSG00000178904	DPY19L3	dpy-19 like C-mannosyltransferase 3	protein-coding
Q7Z388	D19L4_HUMAN	286148	9606	ENSG00000156162	DPY19L4	dpy-19 like 4	protein-coding
Q8N465	D2HDH_HUMAN	728294	9606	ENSG00000180902	D2HGDH	D-2-hydroxyglutarate dehydrogenase	protein-coding
Q9NRG7	D39U1_HUMAN	56948	9606	ENSG00000100445	SDR39U1	short chain dehydrogenase/reductase family 39U member 1	protein-coding
Q8WUS8	D42E1_HUMAN	93517	9606	ENSG00000184860	SDR42E1	short chain dehydrogenase/reductase family 42E, member 1	protein-coding
Q96MX6	DAA10_HUMAN	116143	9606	ENSG00000243667	WDR92	WD repeat domain 92	protein-coding
Q86X45	DAA11_HUMAN	23639	9606	ENSG00000129295	LRRC6	leucine rich repeat containing 6	protein-coding
Q8NEP3	DAAF1_HUMAN	123872	9606	ENSG00000154099	DNAAF1	dynein axonemal assembly factor 1	protein-coding
Q8N9W5	DAAF3_HUMAN	352909	9606	ENSG00000167646	DNAAF3	dynein axonemal assembly factor 3	protein-coding
Q8WXU2	DAAF4_HUMAN	161582	9606	ENSG00000256061	DNAAF4	dynein axonemal assembly factor 4	protein-coding
Q86Y56	DAAF5_HUMAN	54919	9606	ENSG00000164818	DNAAF5	dynein axonemal assembly factor 5	protein-coding
Q9NQM4	DAAF6_HUMAN	139212	9606	ENSG00000080572	DNAAF6	dynein axonemal assembly factor 6	protein-coding
Q8IYS4	DAAF8_HUMAN	146562	9606	ENSG00000166246	C16orf71	chromosome 16 open reading frame 71	protein-coding
Q5TEA3	DAAF9_HUMAN	25943	9606	ENSG00000088854	C20orf194	chromosome 20 open reading frame 194	protein-coding
Q9Y4D1	DAAM1_HUMAN	23002	9606	ENSG00000100592	DAAM1	dishevelled associated activator of morphogenesis 1	protein-coding
Q86T65	DAAM2_HUMAN	23500	9606	ENSG00000146122	DAAM2	dishevelled associated activator of morphogenesis 2	protein-coding
O75553	DAB1_HUMAN	1600	9606	ENSG00000173406	DAB1	DAB adaptor protein 1	protein-coding
Q5VWQ8	DAB2P_HUMAN	153090	9606	ENSG00000136848	DAB2IP	DAB2 interacting protein	protein-coding
P98082	DAB2_HUMAN	1601	9606	ENSG00000153071	DAB2	DAB adaptor protein 2	protein-coding
Q9UI36	DACH1_HUMAN	1602	9606	ENSG00000276644	DACH1	dachshund family transcription factor 1	protein-coding
Q96NX9	DACH2_HUMAN	117154	9606	ENSG00000126733	DACH2	dachshund family transcription factor 2	protein-coding
Q9NYF0	DACT1_HUMAN	51339	9606	ENSG00000165617	DACT1	dishevelled binding antagonist of beta catenin 1	protein-coding
Q5SW24	DACT2_HUMAN	168002	9606	ENSG00000164488	DACT2	dishevelled binding antagonist of beta catenin 2	protein-coding
Q96B18	DACT3_HUMAN	147906	9606	ENSG00000197380	DACT3	dishevelled binding antagonist of beta catenin 3	protein-coding
P61803	DAD1_HUMAN	1603	9606	ENSG00000129562	DAD1	defender against cell death 1	protein-coding
P08174	DAF_HUMAN	1604	9606	ENSG00000196352	CD55	CD55 molecule (Cromer blood group)	protein-coding
Q14118	DAG1_HUMAN	1605	9606	ENSG00000173402	DAG1	dystroglycan 1	protein-coding
Q5D0E6	DALD3_HUMAN	55152	9606	ENSG00000178149	DALRD3	DALR anticodon binding domain containing 3	protein-coding
Q8N907	DAND5_HUMAN	199699	9606	ENSG00000179284	DAND5	DAN domain BMP antagonist family member 5	protein-coding
P59103	DAOA_HUMAN	267012	9606	ENSG00000182346	DAOA	D-amino acid oxidase activator	protein-coding
P51397	DAP1_HUMAN	1611	9606	ENSG00000112977	DAP	death associated protein	protein-coding
P53355	DAPK1_HUMAN	1612	9606	ENSG00000196730	DAPK1	death associated protein kinase 1	protein-coding
Q9UIK4	DAPK2_HUMAN	23604	9606	ENSG00000035664	DAPK2	death associated protein kinase 2	protein-coding
O43293	DAPK3_HUMAN	1613	9606	ENSG00000167657	DAPK3	death associated protein kinase 3	protein-coding
A0PJW8	DAPL1_HUMAN	92196	9606	ENSG00000163331	DAPL1	death associated protein like 1	protein-coding
Q9P219	DAPLE_HUMAN	440193	9606	ENSG00000015133	CCDC88C	coiled-coil domain containing 88C	protein-coding
Q9UN19	DAPP1_HUMAN	27071	9606	ENSG00000070190	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1	protein-coding
Q8N136	DAW1_HUMAN	164781	9606	ENSG00000123977	DAW1	dynein assembly factor with WD repeats 1	protein-coding
Q9UER7	DAXX_HUMAN	1616	9606	ENSG00000204209	DAXX	death domain associated protein	protein-coding
Q9UER7	DAXX_HUMAN	1616	9606	ENSG00000206206	DAXX	death domain associated protein	protein-coding
Q9UER7	DAXX_HUMAN	1616	9606	ENSG00000206279	DAXX	death domain associated protein	protein-coding
Q9UER7	DAXX_HUMAN	1616	9606	ENSG00000231617	DAXX	death domain associated protein	protein-coding
Q9UER7	DAXX_HUMAN	1616	9606	ENSG00000227046	DAXX	death domain associated protein	protein-coding
Q9NQZ3	DAZ1_HUMAN	1617	9606	ENSG00000188120	DAZ1	deleted in azoospermia 1	protein-coding
Q13117	DAZ2_HUMAN	57055	9606	ENSG00000205944	DAZ2	deleted in azoospermia 2	protein-coding
Q9NR90	DAZ3_HUMAN	57054	9606	ENSG00000187191	DAZ3	deleted in azoospermia 3	protein-coding
Q86SG3	DAZ4_HUMAN	57135	9606	ENSG00000205916	DAZ4	deleted in azoospermia 4	protein-coding
Q92904	DAZL_HUMAN	1618	9606	ENSG00000092345	DAZL	deleted in azoospermia like	protein-coding
Q96EP5	DAZP1_HUMAN	26528	9606	ENSG00000071626	DAZAP1	DAZ associated protein 1	protein-coding
Q15038	DAZP2_HUMAN	9802	9606	ENSG00000183283	DAZAP2	DAZ associated protein 2	protein-coding
Q30KQ9	DB110_HUMAN	245913	9606	ENSG00000203970	DEFB110	defensin beta 110	protein-coding
Q30KQ7	DB113_HUMAN	245927	9606	ENSG00000214642	DEFB113	defensin beta 113	protein-coding
Q30KQ6	DB114_HUMAN	245928	9606	ENSG00000177684	DEFB114	defensin beta 114	protein-coding
Q30KQ5	DB115_HUMAN	245929	9606	ENSG00000215547	DEFB115	defensin beta 115	protein-coding
Q30KQ4	DB116_HUMAN	245930	9606	ENSG00000215545	DEFB116	defensin beta 116	protein-coding
Q96PH6	DB118_HUMAN	117285	9606	ENSG00000131068	DEFB118	defensin beta 118	protein-coding
Q8N690	DB119_HUMAN	245932	9606	ENSG00000180483	DEFB119	defensin beta 119	protein-coding
Q5J5C9	DB121_HUMAN	245934	9606	ENSG00000204548	DEFB121	defensin beta 121	protein-coding
Q8N688	DB123_HUMAN	245936	9606	ENSG00000180424	DEFB123	defensin beta 123	protein-coding
Q8NES8	DB124_HUMAN	245937	9606	ENSG00000180383	DEFB124	defensin beta 124	protein-coding
Q8N687	DB125_HUMAN	245938	9606	ENSG00000178591	DEFB125	defensin beta 125	protein-coding
Q9BYW3	DB126_HUMAN	81623	9606	ENSG00000125788	DEFB126	defensin beta 126	protein-coding
Q9H1M4	DB127_HUMAN	140850	9606	ENSG00000088782	DEFB127	defensin beta 127	protein-coding
Q7Z7B8	DB128_HUMAN	245939	9606	ENSG00000185982	DEFB128	defensin beta 128	protein-coding
Q9H1M3	DB129_HUMAN	140881	9606	ENSG00000125903	DEFB129	defensin beta 129	protein-coding
Q7Z7B7	DB132_HUMAN	400830	9606	ENSG00000186458	DEFB132	defensin beta 132	protein-coding
Q4QY38	DB134_HUMAN	613211	9606	ENSG00000205882	DEFB134	defensin beta 134	protein-coding
Q4QY38	DB134_HUMAN	613211	9606	ENSG00000284754	DEFB134	defensin beta 134	protein-coding
Q30KP9	DB135_HUMAN	613209	9606	ENSG00000205883	DEFB135	defensin beta 135	protein-coding
Q30KP9	DB135_HUMAN	613209	9606	ENSG00000285365	DEFB135	defensin beta 135	protein-coding
Q30KP8	DB136_HUMAN	613210	9606	ENSG00000205884	DEFB136	defensin beta 136	protein-coding
Q30KP8	DB136_HUMAN	613210	9606	ENSG00000285087	DEFB136	defensin beta 136	protein-coding
Q9UBU7	DBF4A_HUMAN	10926	9606	ENSG00000006634	DBF4	DBF4 zinc finger	protein-coding
Q8NFT6	DBF4B_HUMAN	80174	9606	ENSG00000161692	DBF4B	DBF4 zinc finger B	protein-coding
Q9NR28	DBLOH_HUMAN	56616	9606	ENSG00000184047	DIABLO	diablo IAP-binding mitochondrial protein	protein-coding
Q9H9R9	DBND1_HUMAN	79007	9606	ENSG00000003249	DBNDD1	dysbindin domain containing 1	protein-coding
Q9BQY9	DBND2_HUMAN	55861	9606	ENSG00000244274	DBNDD2	dysbindin domain containing 2	protein-coding
Q9UJU6	DBNL_HUMAN	28988	9606	ENSG00000136279	DBNL	drebrin like	protein-coding
Q10586	DBP_HUMAN	1628	9606	ENSG00000105516	DBP	D-box binding PAR bZIP transcription factor	protein-coding
Q9UK59	DBR1_HUMAN	51163	9606	ENSG00000138231	DBR1	debranching RNA lariats 1	protein-coding
A6NMT0	DBX1_HUMAN	120237	9606	ENSG00000109851	DBX1	developing brain homeobox 1	protein-coding
